trade_date,symbol,signal_type,signal_time,wall_strike,long_strike,spread_width,credit_received,closing_price,pnl_per_contract,is_winner,short_option_price,long_option_price,used_real_prices
2026-02-13,QQQ,BEAR_CALL_SPREAD,2026-02-13 09:40:00-05:00,615.0,617.0,2.0,2.0,601.92,2.0,True,0.04,0.02,True
2026-02-17,QQQ,BULL_PUT_SPREAD,2026-02-17 09:40:00-05:00,595.0,593.0,2.0,43.0,601.3,43.0,True,1.39,0.96,True
2026-02-18,QQQ,BEAR_CALL_SPREAD,2026-02-18 09:35:00-05:00,615.0,617.0,2.0,60.0,605.79,60.0,True,0.01,0.01,False
2026-02-19,QQQ,BULL_PUT_SPREAD,2026-02-19 09:35:00-05:00,600.0,598.0,2.0,55.0,603.47,55.0,True,1.86,1.31,True
2026-02-20,QQQ,BEAR_CALL_SPREAD,2026-02-20 09:35:00-05:00,615.0,617.0,2.0,3.0,608.81,3.0,True,0.05,0.02,True
2026-02-23,QQQ,BULL_PUT_SPREAD,2026-02-23 09:35:00-05:00,600.0,598.0,2.0,16.0,601.41,16.0,True,0.44,0.28,True
2026-02-24,QQQ,BEAR_CALL_SPREAD,2026-02-24 09:35:00-05:00,615.0,617.0,2.0,1.0,607.87,1.0,True,0.02,0.01,True
2026-02-25,QQQ,BEAR_CALL_SPREAD,2026-02-25 09:45:00-05:00,625.0,627.0,2.0,60.0,616.68,60.0,True,0.01,0.01,False
2026-02-26,QQQ,BEAR_CALL_SPREAD,2026-02-26 09:35:00-05:00,630.0,632.0,2.0,60.0,609.24,60.0,True,0.01,0.01,False
2026-02-27,QQQ,BULL_PUT_SPREAD,2026-02-27 09:40:00-05:00,600.0,598.0,2.0,44.0,607.29,44.0,True,1.26,0.82,True
2026-02-13,IWM,BULL_PUT_SPREAD,2026-02-13 09:35:00-05:00,255.0,254.0,1.0,12.0,262.96,12.0,True,0.32,0.2,True
2026-02-17,IWM,BULL_PUT_SPREAD,2026-02-17 09:40:00-05:00,255.0,254.0,1.0,3.0,263.04,3.0,True,0.09,0.06,True
2026-02-18,IWM,BEAR_CALL_SPREAD,2026-02-18 09:35:00-05:00,270.0,271.0,1.0,2.0,263.99,2.0,True,0.03,0.01,True
2026-02-19,IWM,BEAR_CALL_SPREAD,2026-02-19 09:35:00-05:00,270.0,271.0,1.0,30.0,264.6,30.0,True,0.01,0.01,False
2026-02-20,IWM,BEAR_CALL_SPREAD,2026-02-20 09:40:00-05:00,270.0,271.0,1.0,30.0,264.61,30.0,True,0.04,0.04,False
2026-02-23,IWM,BEAR_CALL_SPREAD,2026-02-23 09:35:00-05:00,270.0,271.0,1.0,1.0,260.49,1.0,True,0.02,0.01,True
2026-02-24,IWM,BEAR_CALL_SPREAD,2026-02-24 09:35:00-05:00,265.0,266.0,1.0,8.0,263.33,8.0,True,0.17,0.09,True
2026-02-25,IWM,BULL_PUT_SPREAD,2026-02-25 09:35:00-05:00,260.0,259.0,1.0,6.0,264.58,6.0,True,0.17,0.11,True
2026-02-26,IWM,BEAR_CALL_SPREAD,2026-02-26 09:35:00-05:00,270.0,271.0,1.0,1.0,265.99,1.0,True,0.02,0.01,True
2026-02-27,IWM,BULL_PUT_SPREAD,2026-02-27 09:35:00-05:00,255.0,254.0,1.0,1.0,261.41,1.0,True,0.08,0.07,True
2026-02-18,TSLA,BULL_PUT_SPREAD,2026-02-18 09:35:00-05:00,395.0,390.0,5.0,14.0,411.32,14.0,True,0.28,0.14,True
2026-02-20,TSLA,BEAR_CALL_SPREAD,2026-02-20 09:35:00-05:00,425.0,430.0,5.0,7.0,411.82,7.0,True,0.1,0.03,True
2026-02-23,TSLA,BULL_PUT_SPREAD,2026-02-23 09:35:00-05:00,390.0,385.0,5.0,13.0,399.83,13.0,True,0.25,0.12,True
2026-02-25,TSLA,BEAR_CALL_SPREAD,2026-02-25 09:35:00-05:00,425.0,430.0,5.0,66.0,417.4,66.0,True,0.96,0.3,True
2026-02-27,TSLA,BULL_PUT_SPREAD,2026-02-27 09:40:00-05:00,390.0,385.0,5.0,13.0,402.51,13.0,True,0.29,0.16,True
2026-02-13,NVDA,BULL_PUT_SPREAD,2026-02-13 09:35:00-05:00,180.0,175.0,5.0,32.0,182.81,32.0,True,0.42,0.1,True
2026-02-18,NVDA,BULL_PUT_SPREAD,2026-02-18 09:35:00-05:00,185.0,180.0,5.0,40.0,187.98,40.0,True,0.47,0.07,True
2026-02-20,NVDA,BULL_PUT_SPREAD,2026-02-20 10:00:00-05:00,180.0,175.0,5.0,2.0,189.82,2.0,True,0.04,0.02,True
2026-02-23,NVDA,BEAR_CALL_SPREAD,2026-02-23 09:35:00-05:00,205.0,210.0,5.0,150.0,191.55,150.0,True,0.01,0.01,False
2026-02-25,NVDA,BEAR_CALL_SPREAD,2026-02-25 09:35:00-05:00,210.0,215.0,5.0,150.0,195.56,150.0,True,0.0,0.0,False
2026-02-27,NVDA,BEAR_CALL_SPREAD,2026-02-27 09:35:00-05:00,195.0,200.0,5.0,1.0,177.19,1.0,True,0.02,0.01,True
2026-02-13,AMZN,BEAR_CALL_SPREAD,2026-02-13 09:40:00-05:00,205.0,210.0,5.0,5.0,198.79,5.0,True,0.07,0.02,True
2026-02-18,AMZN,BEAR_CALL_SPREAD,2026-02-18 09:35:00-05:00,205.0,210.0,5.0,90.0,204.79,90.0,True,1.0,0.1,True
2026-02-20,AMZN,BEAR_CALL_SPREAD,2026-02-20 10:00:00-05:00,210.0,215.0,5.0,87.0,210.11,76.0,True,0.97,0.1,True
2026-02-23,AMZN,BULL_PUT_SPREAD,2026-02-23 09:35:00-05:00,195.0,190.0,5.0,2.0,205.27,2.0,True,0.04,0.02,True
2026-02-25,AMZN,BULL_PUT_SPREAD,2026-02-25 09:35:00-05:00,195.0,190.0,5.0,1.0,210.64,1.0,True,0.02,0.01,True
2026-02-13,META,BEAR_CALL_SPREAD,2026-02-13 09:40:00-05:00,655.0,660.0,5.0,52.0,639.77,52.0,True,0.98,0.46,True
2026-02-18,META,BEAR_CALL_SPREAD,2026-02-18 09:35:00-05:00,645.0,650.0,5.0,48.0,643.22,48.0,True,0.8,0.32,True
